City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Dzilam Gonzalez,MX,21.2833,-88.9333,87.8,65,88,8.39,overcast clouds
238,Nouakchott,MR,18.0858,-15.9785,80.53,67,95,19.26,overcast clouds
239,Sedalia,US,38.7045,-93.2283,53.26,76,90,4.61,overcast clouds
240,Jadu,LY,31.953,12.0261,63.54,47,0,6.85,clear sky
241,Plaridel,PH,14.8872,120.8572,78.85,85,41,3.09,scattered clouds
242,Lasa,IT,46.6166,10.7002,43.68,47,99,0.4,overcast clouds
243,Truro,GB,50.2653,-5.0544,55.56,100,75,4.61,broken clouds
244,Tammisaari,FI,59.9736,23.4339,48.29,82,100,14.65,overcast clouds
245,Kandalaksha,RU,67.162,32.4123,29.12,97,100,7.14,light snow
246,Mastic Beach,US,40.7668,-72.8521,71.8,87,75,8.01,broken clouds
247,Bagdarin,RU,54.4333,113.6,26.76,82,77,3.33,broken clouds
248,Phibun Mangsahan,TH,15.2447,105.2291,69.78,90,99,6.6,overcast clouds
249,Cidreira,BR,-30.1811,-50.2056,68.67,72,0,9.55,clear sky
250,Kununurra,AU,-15.7667,128.7333,76.98,83,85,0.0,overcast clouds
251,Samarai,PG,-10.6167,150.6667,81.95,78,37,9.06,scattered clouds
252,Arlington,US,32.7357,-97.1081,88.99,49,1,3.0,clear sky
253,Palora,EC,-1.7,-77.9333,75.74,92,75,1.07,moderate rain
254,Labuhan,ID,-6.8844,112.2051,79.32,78,70,5.12,broken clouds
255,Olavarria,AR,-36.8927,-60.3225,79.02,34,54,7.2,broken clouds
256,Yumen,CN,40.2833,97.2,37.2,54,23,2.08,few clouds
257,Kruisfontein,ZA,-34.0033,24.7314,61.88,92,4,4.88,clear sky
258,Hutchinson,US,38.0608,-97.9298,57.15,62,20,9.22,few clouds
259,Sesheke,ZM,-17.4759,24.2968,79.93,40,75,4.99,light rain
260,Mayo,US,38.8876,-76.5119,78.39,80,1,7.0,clear sky
261,Yulara,AU,-25.2406,130.9889,69.64,35,2,4.61,clear sky
262,Chuy,UY,-33.6971,-53.4616,74.21,60,0,8.72,clear sky
263,Otjiwarongo,NA,-20.4637,16.6477,68.04,18,0,6.93,clear sky
264,Saquena,PE,-4.6667,-73.5167,91.02,53,91,3.2,overcast clouds
265,Taoudenni,ML,22.6783,-3.9836,89.04,17,53,9.04,broken clouds
266,Kailua,US,21.4022,-157.7394,84.18,64,40,12.66,scattered clouds
267,Awbari,LY,26.5921,12.7805,73.33,28,0,7.29,clear sky
268,Cockburn Town,TC,21.4612,-71.1419,82.99,73,8,15.57,clear sky
269,Zadar,HR,44.1197,15.2422,51.66,76,0,2.3,clear sky
270,Sarrebourg,FR,48.7333,7.05,53.46,86,97,6.78,light rain
271,Oranjemund,NA,-28.55,16.4333,59.52,84,100,7.16,overcast clouds
272,Ondjiva,AO,-17.0667,15.7333,76.14,18,33,2.62,scattered clouds
273,Navashino,RU,55.5292,42.2003,31.15,71,82,10.27,broken clouds
274,Anloga,GH,5.7947,0.8973,82.62,80,100,10.18,moderate rain
275,Solwezi,ZM,-12.1688,26.3894,67.91,71,100,7.27,overcast clouds
276,Asau,RO,46.4333,26.4,36.75,70,0,2.28,clear sky
277,Maniitsoq,GL,65.4167,-52.9,29.97,45,0,9.01,clear sky
278,Te Anau,NZ,-45.4167,167.7167,58.35,84,69,1.03,broken clouds
279,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,80,20,6.71,few clouds
280,Tsumeb,NA,-19.2333,17.7167,69.35,15,47,6.58,scattered clouds
281,Cuencame,MX,24.8711,-103.6964,82.33,21,58,7.61,broken clouds
282,Quang Ngai,VN,15.1167,108.8,73.2,93,100,7.7,overcast clouds
283,Tazovskiy,RU,67.4667,78.7,15.78,91,37,9.66,scattered clouds
284,Lavras,BR,-21.2453,-44.9997,68.99,86,92,10.4,overcast clouds
285,Egvekinot,RU,66.3167,-179.1667,0.5,87,15,6.76,few clouds
286,Ornskoldsvik,SE,63.2909,18.7153,30.02,100,100,2.3,mist
287,Urengoy,RU,65.9667,78.3667,17.94,94,41,7.43,scattered clouds
288,Neiafu,TO,-18.65,-173.9833,77.68,73,20,8.05,few clouds
289,Muscat,OM,23.6139,58.5922,83.32,60,0,4.52,clear sky
290,San Juan,AR,-31.5375,-68.5364,99.07,4,2,5.55,clear sky
291,Lock Haven,US,41.137,-77.4469,71.38,82,99,2.37,overcast clouds
292,Port Macquarie,AU,-31.4333,152.9167,62.56,80,50,8.52,scattered clouds
293,Houston,US,29.7633,-95.3633,93.15,61,1,1.99,clear sky
294,Lanxi,CN,29.2195,119.477,54.54,91,0,1.14,clear sky
295,Shambu,ET,9.5667,37.1,50.83,69,58,3.74,broken clouds
296,Karaj,IR,35.8355,51.0103,53.38,33,0,9.22,clear sky
